start_range, end_range, start_end, input_value, parallelism, accuracy, precision, storage, num_inp_vals, observed, obs_dec, expected, exp_dec, obs_dec-exp_dec, abs_err
-0.1,0.1,-0.1 to 0.1,0x2af2,8,dw,float16,mem,512,0x182d,0.002039,0x182f,0.002043,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2c2a,8,dw,float16,mem,512,0x1836,0.002056,0x183a,0.002064,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x28c4,8,dw,float16,mem,512,0x1819,0.002,0x181d,0.002008,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2bd5,8,dw,float16,mem,512,0x1831,0.002047,0x1836,0.002056,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xac9b,8,dw,float16,mem,512,0x1758,0.001793,0x1760,0.001801,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa686,8,dw,float16,mem,512,0x17b2,0.001879,0x17b9,0.001885,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2dbc,8,dw,float16,mem,512,0x1854,0.002113,0x1855,0.002115,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2b60,8,dw,float16,mem,512,0x182d,0.002039,0x1833,0.00205,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0xaa1c,8,dw,float16,mem,512,0x178c,0.0018425,0x178e,0.001844,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x292c,8,dw,float16,mem,512,0x181d,0.002008,0x1820,0.002014,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x0a92,8,dw,float16,mem,512,0x17e9,0.001931,0x17ec,0.001934,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0x2d5c,8,dw,float16,mem,512,0x184b,0.002096,0x184e,0.002102,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xada1,8,dw,float16,mem,512,0x173b,0.001765,0x1742,0.001772,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0xa72e,8,dw,float16,mem,512,0x17b2,0.001879,0x17b4,0.001881,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2a57,8,dw,float16,mem,512,0x1825,0.002024,0x182a,0.002033,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa52e,8,dw,float16,mem,512,0x17c1,0.001893,0x17c4,0.001896,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0x23c1,8,dw,float16,mem,512,0x1804,0.00196,0x1806,0.001965,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa9e8,8,dw,float16,mem,512,0x178c,0.0018425,0x1791,0.001847,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2b76,8,dw,float16,mem,512,0x1831,0.002047,0x1833,0.00205,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa085,8,dw,float16,mem,512,0x17d1,0.001908,0x17da,0.001917,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0xaddf,8,dw,float16,mem,512,0x1733,0.001758,0x173a,0.001764,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2df1,8,dw,float16,mem,512,0x1854,0.002113,0x1859,0.002123,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa915,8,dw,float16,mem,512,0x179b,0.001857,0x179d,0.001859,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2d12,8,dw,float16,mem,512,0x1847,0.002089,0x1849,0.002092,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa87d,8,dw,float16,mem,512,0x17a3,0.001864,0x17a6,0.001867,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0x2d64,8,dw,float16,mem,512,0x184b,0.002096,0x184f,0.002104,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa821,8,dw,float16,mem,512,0x17a3,0.001864,0x17ac,0.001873,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x2c40,8,dw,float16,mem,512,0x183a,0.002064,0x183b,0.002066,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x9f70,8,dw,float16,mem,512,0x17d9,0.001916,0x17dd,0.00192,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2c27,8,dw,float16,mem,512,0x1836,0.002056,0x183a,0.002064,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xad9b,8,dw,float16,mem,512,0x173b,0.001765,0x1742,0.001772,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2844,8,dw,float16,mem,512,0x1815,0.001993,0x1819,0.002,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x268b,8,dw,float16,mem,512,0x180c,0.001976,0x1811,0.001986,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa65b,8,dw,float16,mem,512,0x17b2,0.001879,0x17bb,0.001887,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0xacc0,8,dw,float16,mem,512,0x1758,0.001793,0x175c,0.001797,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2e0b,8,dw,float16,mem,512,0x1858,0.002121,0x185a,0.002125,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa823,8,dw,float16,mem,512,0x17a3,0.001864,0x17ac,0.001873,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x291a,8,dw,float16,mem,512,0x181d,0.002008,0x1820,0.002014,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xab10,8,dw,float16,mem,512,0x177d,0.001828,0x177f,0.00183,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xac7e,8,dw,float16,mem,512,0x175f,0.0018,0x1763,0.001803,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x9daf,8,dw,float16,mem,512,0x17d9,0.001916,0x17e1,0.001924,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2d71,8,dw,float16,mem,512,0x184b,0.002096,0x1850,0.002106,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x2718,8,dw,float16,mem,512,0x1810,0.001984,0x1813,0.00199,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x26cc,8,dw,float16,mem,512,0x1810,0.001984,0x1812,0.001987,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2622,8,dw,float16,mem,512,0x180c,0.001976,0x180f,0.001982,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x21ba,8,dw,float16,mem,512,0x1800,0.001953,0x1802,0.001957,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x9d6d,8,dw,float16,mem,512,0x17d9,0.001916,0x17e1,0.001924,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xac08,8,dw,float16,mem,512,0x176e,0.001814,0x1770,0.001816,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2dd1,8,dw,float16,mem,512,0x1854,0.002113,0x1856,0.002117,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2e3f,8,dw,float16,mem,512,0x185c,0.002129,0x185e,0.002132,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xaaba,8,dw,float16,mem,512,0x177d,0.001828,0x1784,0.001835,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2d0a,8,dw,float16,mem,512,0x1847,0.002089,0x1849,0.002092,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2c0e,8,dw,float16,mem,512,0x1836,0.002056,0x1838,0.00206,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa6d6,8,dw,float16,mem,512,0x17b2,0.001879,0x17b7,0.0018835,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2ab8,8,dw,float16,mem,512,0x1829,0.002031,0x182d,0.002039,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2546,8,dw,float16,mem,512,0x1808,0.001968,0x180b,0.001974,-5.7e-06,5.7e-06
